name_file,width,height,class,label,points
023.jpg,640,512,2,c_kefir,"[[339, 185], [341, 182], [342, 177], [346, 174], [350, 173], [352, 170], [355, 166], [356, 164], [361, 165], [362, 166], [367, 165], [368, 161], [372, 158], [377, 158], [381, 161], [382, 167], [382, 171], [386, 175], [389, 183], [390, 189], [389, 193], [385, 195], [385, 200], [381, 208], [376, 211], [376, 216], [379, 224], [378, 229], [370, 230], [363, 229], [360, 225], [357, 219], [353, 219], [350, 218], [346, 219], [341, 215], [336, 211], [334, 204], [330, 200], [328, 196], [329, 193], [333, 193], [331, 189], [331, 186], [336, 185]]"
023.jpg,640,512,2,c_kefir,"[[460, 346], [462, 342], [460, 336], [459, 331], [459, 326], [464, 324], [469, 322], [472, 318], [472, 315], [470, 312], [470, 307], [473, 305], [476, 304], [480, 303], [485, 307], [486, 314], [487, 322], [488, 329], [489, 335], [490, 341], [493, 345], [492, 352], [490, 357], [486, 361], [476, 362], [475, 365], [470, 365], [467, 369], [460, 372], [454, 372], [448, 368], [447, 363], [450, 360], [454, 360], [457, 361], [461, 359], [456, 357], [455, 353], [452, 351], [451, 347], [453, 345], [456, 345], [459, 346]]"
023.jpg,640,512,2,c_kefir,"[[235, 410], [234, 404], [236, 400], [239, 399], [240, 396], [243, 395], [246, 395], [251, 399], [253, 399], [253, 395], [252, 390], [255, 386], [259, 387], [264, 389], [266, 394], [270, 401], [272, 405], [275, 407], [278, 405], [282, 410], [284, 417], [283, 420], [285, 424], [286, 428], [287, 433], [284, 438], [280, 441], [278, 444], [274, 447], [269, 448], [262, 451], [258, 450], [251, 451], [246, 450], [243, 451], [238, 449], [238, 444], [238, 441], [235, 439], [234, 432], [236, 428], [233, 423], [233, 418], [231, 415], [233, 411]]"
001.jpg,640,512,2,c_kefir,"[[307, 228], [311, 226], [313, 223], [316, 220], [320, 218], [323, 219], [324, 223], [324, 227], [320, 230], [318, 232], [316, 237], [319, 240], [320, 242], [322, 244], [326, 243], [329, 243], [332, 246], [332, 249], [331, 251], [327, 252], [326, 254], [321, 257], [319, 261], [319, 264], [319, 268], [316, 270], [310, 270], [309, 270], [309, 272], [311, 274], [314, 276], [315, 280], [315, 282], [311, 283], [306, 284], [302, 281], [299, 280], [296, 278], [295, 275], [297, 273], [297, 270], [298, 267], [298, 264], [294, 261], [293, 257], [293, 255], [291, 252], [290, 249], [286, 247], [282, 244], [281, 239], [278, 238], [274, 238], [272, 234], [273, 230], [276, 228], [280, 227], [282, 228], [286, 226], [288, 225], [292, 225], [294, 226], [295, 229], [298, 229], [299, 227], [302, 227], [306, 228]]"
003.jpg,640,512,2,c_kefir,"[[20, 76], [20, 70], [26, 68], [31, 67], [36, 70], [40, 72], [45, 73], [45, 75], [49, 77], [50, 81], [49, 84], [47, 87], [47, 94], [46, 98], [47, 101], [46, 104], [43, 107], [37, 104], [31, 102], [24, 102], [20, 98], [16, 98], [12, 90], [12, 88], [10, 84], [12, 80], [16, 81]]"
003.jpg,640,512,2,c_kefir,"[[107, 255], [112, 251], [117, 252], [122, 248], [121, 244], [123, 240], [122, 234], [118, 232], [115, 232], [112, 227], [107, 225], [103, 227], [101, 230], [95, 232], [92, 235], [89, 233], [86, 235], [83, 238], [83, 241], [80, 243], [79, 247], [80, 253], [84, 253], [84, 257], [86, 259], [81, 260], [78, 262], [77, 268], [79, 271], [83, 271], [86, 274], [91, 275], [97, 276], [104, 275], [104, 270], [107, 268], [108, 265], [106, 261]]"
003.jpg,640,512,2,c_kefir,"[[54, 344], [57, 339], [61, 337], [66, 335], [73, 335], [78, 337], [82, 342], [80, 348], [80, 353], [78, 357], [80, 361], [86, 362], [88, 366], [88, 370], [85, 373], [80, 372], [76, 369], [69, 367], [65, 363], [63, 359], [60, 357], [54, 360], [50, 358], [47, 352], [50, 347], [53, 346]]"
003.jpg,640,512,2,c_kefir,"[[268, 423], [269, 416], [271, 413], [275, 412], [277, 406], [280, 405], [283, 408], [289, 408], [294, 407], [297, 411], [297, 414], [304, 415], [307, 417], [310, 421], [309, 424], [313, 426], [318, 427], [320, 432], [319, 436], [314, 437], [313, 442], [312, 445], [310, 446], [308, 451], [300, 454], [298, 455], [296, 461], [290, 467], [285, 470], [278, 468], [275, 465], [270, 466], [267, 461], [262, 459], [256, 459], [252, 459], [248, 455], [251, 450], [256, 448], [262, 449], [261, 444], [253, 445], [248, 439], [249, 433], [255, 432], [261, 431], [264, 428]]"
003.jpg,640,512,2,c_kefir,"[[538, 238], [545, 232], [550, 231], [553, 235], [553, 240], [552, 244], [556, 249], [556, 253], [551, 257], [543, 257], [541, 251], [539, 248], [536, 245]]"
003.jpg,640,512,2,c_kefir,"[[508, 482], [503, 477], [500, 473], [502, 471], [506, 469], [509, 469], [512, 470], [515, 465], [519, 466], [523, 469], [524, 473], [528, 476], [532, 479], [539, 481], [543, 485], [545, 488], [546, 494], [549, 498], [554, 501], [562, 500], [566, 504], [565, 511], [494, 511], [494, 507], [493, 503], [491, 499], [495, 497], [495, 492], [498, 488], [502, 485], [505, 486]]"
006.jpg,640,512,2,c_kefir,"[[232, 330], [230, 325], [229, 320], [231, 315], [234, 313], [239, 314], [245, 317], [248, 324], [254, 327], [258, 330], [264, 337], [265, 343], [262, 348], [259, 353], [256, 354], [252, 359], [247, 364], [241, 365], [235, 358], [231, 352], [228, 344], [230, 342], [228, 337], [228, 332]]"
006.jpg,640,512,2,c_kefir,"[[503, 373], [508, 379], [516, 381], [528, 374], [529, 364], [535, 361], [537, 353], [533, 345], [528, 339], [521, 336], [513, 335], [505, 337], [499, 339], [494, 340], [492, 344], [490, 347], [487, 350], [484, 352], [479, 351], [475, 349], [471, 350], [470, 353], [471, 356], [477, 359], [480, 362], [485, 363], [487, 367], [492, 368], [494, 366], [499, 369], [502, 372]]"
007.jpg,640,512,2,c_kefir,"[[211, 131], [214, 129], [218, 126], [222, 125], [226, 127], [229, 129], [231, 131], [231, 135], [229, 138], [225, 141], [221, 140], [219, 138], [215, 138], [212, 137], [211, 135]]"
